n,Yaw,Pitch,Roll,Lift,Drag,Side
305,95.89048,5.2356,-0.09438,-9.55416,13.056479999999999,-3.612
306,95.89048,5.2356,-0.09438,-9.55416,13.07392,-3.612
307,95.89048,5.2356,-0.09438,-9.55416,13.056479999999999,-3.612
308,95.89048,5.2356,-0.09438,-9.55416,13.056479999999999,-3.612
309,95.89048,5.2356,-0.09438,-9.55416,13.056479999999999,-3.612
310,95.89048,5.2356,-0.09438,-9.55416,13.056479999999999,-3.612
311,95.89048,5.2356,-0.09438,-9.55416,13.056479999999999,-3.612
312,95.89048,5.2356,-0.09438,-9.55416,13.056479999999999,-3.612
313,95.89048,5.2356,-0.09438,-9.55416,13.056479999999999,-3.612
314,95.89048,5.2356,-0.09438,-9.55416,13.056479999999999,-3.612
315,95.89048,5.2356,-0.09438,-9.55416,13.056479999999999,-3.612
316,95.89048,5.2356,-0.09438,-9.55416,13.056479999999999,-3.612
317,95.89048,5.2356,-0.09438,-9.55416,13.056479999999999,-3.612
318,95.89048,5.2356,-0.09438,-9.55416,13.056479999999999,-3.612
319,95.89048,5.2356,-0.09438,-9.55416,13.07392,-3.612
320,95.89048,5.2356,-0.09438,-9.55416,13.056479999999999,-3.612
321,95.89048,5.2356,-0.09438,-9.55416,13.056479999999999,-3.612
322,95.89048,5.2356,-0.09438,-9.55416,13.056479999999999,-3.612
323,95.89048,5.2356,-0.09438,-9.55416,13.056479999999999,-3.612
324,95.89048,5.2356,-0.09438,-9.55416,13.056479999999999,-3.612
325,95.89048,5.2356,-0.09438,-9.55416,13.056479999999999,-3.612
326,95.89048,5.2356,-0.09438,-9.55416,13.056479999999999,-3.612
327,95.89048,5.2356,-0.09438,-9.55416,13.056479999999999,-3.612
328,95.89048,5.2356,-0.09438,-9.55416,13.056479999999999,-3.612
329,95.89048,5.2356,-0.09438,-9.55416,13.056479999999999,-3.59491
330,95.89048,5.2356,-0.09438,-9.55416,13.056479999999999,-3.612
331,95.89048,5.2356,-0.09438,-9.55416,13.056479999999999,-3.612
332,95.89048,5.2356,-0.09438,-9.55416,13.056479999999999,-3.612
333,95.89048,5.2356,-0.09438,-9.55416,13.07392,-3.612
334,95.89048,5.2356,-0.09438,-9.55416,13.056479999999999,-3.612
335,95.89048,5.2356,-0.09438,-9.55416,13.056479999999999,-3.612
336,95.89048,5.2356,-0.09438,-9.55416,13.056479999999999,-3.612
337,95.89048,5.2356,-0.09438,-9.55416,13.056479999999999,-3.612
338,95.89048,5.2356,-0.09438,-9.55416,13.056479999999999,-3.612
339,95.89048,5.2356,-0.09438,-9.55416,13.056479999999999,-3.612
340,95.89048,5.2356,-0.09438,-9.55416,13.056479999999999,-3.59491
341,95.89048,5.2356,-0.09438,-9.55416,13.07392,-3.612
342,95.89048,5.2356,-0.09438,-9.55416,13.07392,-3.612
343,95.89048,5.2356,-0.09438,-9.55416,13.07392,-3.612
344,95.89048,5.2356,-0.09438,-9.55416,13.056479999999999,-3.612
345,95.89048,5.2356,-0.09438,-9.55416,13.056479999999999,-3.612
346,95.89048,5.2356,-0.09438,-9.55416,13.056479999999999,-3.612
347,95.89048,5.2356,-0.09438,-9.55416,13.056479999999999,-3.612
348,95.89048,5.2356,-0.09438,-9.55416,13.056479999999999,-3.612
349,95.89048,5.2356,-0.09438,-9.55416,13.056479999999999,-3.612
350,95.89048,5.2356,-0.09438,-9.55416,13.056479999999999,-3.612
351,95.89048,5.2356,-0.09438,-9.55416,13.056479999999999,-3.612
352,95.89048,5.2356,-0.09438,-9.55416,13.056479999999999,-3.612
353,95.89048,5.2356,-0.09438,-9.55416,13.056479999999999,-3.612
354,95.89048,5.2356,-0.09438,-9.55416,13.056479999999999,-3.612
355,95.89048,5.2356,-0.09438,-9.55416,13.056479999999999,-3.612
356,95.89048,5.2356,-0.09438,-9.55416,13.056479999999999,-3.612
357,95.89048,5.2356,-0.09438,-9.55416,13.056479999999999,-3.612
358,95.89048,5.2356,-0.09438,-9.55416,13.056479999999999,-3.612
359,95.89048,5.2356,-0.09438,-9.55416,13.07392,-3.612
360,95.89048,5.2356,-0.09438,-9.55416,13.056479999999999,-3.612
361,95.89048,5.2356,-0.09438,-9.55416,13.056479999999999,-3.612
